id	filename	md5	size	state
70ea9273-29f3-425a-ba66-5b75db62c9b7	70ea9273-29f3-425a-ba66-5b75db62c9b7/8f6c4058-6bdd-4f85-94ed-874966ffec55.rna_seq.augmented_star_gene_counts.tsv	bfd0d9a6d3be189dc7dc7a044ff5b7f4	4244086	validated
bc23716d-70e8-486e-b512-8c45654d5d83	bc23716d-70e8-486e-b512-8c45654d5d83/8411b896-9d24-47d3-8a28-1c9cd6313939.rna_seq.augmented_star_gene_counts.tsv	bc80ab17c6c16c9286526c9d13f1b9bd	4235724	validated
7dace9fc-28bd-44fb-9e97-6319eb30bb05	7dace9fc-28bd-44fb-9e97-6319eb30bb05/0c13d041-ca8d-48cc-ba02-3b7889e5367c.rna_seq.augmented_star_gene_counts.tsv	2baaa1411fc7dedf03d2f8014837355e	4251572	validated
8f79405a-c78e-4a9e-a673-969658a0f90b	8f79405a-c78e-4a9e-a673-969658a0f90b/c95b28ad-6de7-4494-b88a-7fc00ba9ee0a.rna_seq.augmented_star_gene_counts.tsv	ef849308b85a753fd04ee4dee2632fc4	4233786	validated
54600389-6de5-44ce-ada1-8a8508b50980	54600389-6de5-44ce-ada1-8a8508b50980/65ba302c-51a9-4493-8d28-e7bc076bca54.rna_seq.augmented_star_gene_counts.tsv	368b9e09d3826de28b4c7e26eb1bb152	4232307	validated
ead53b27-6ad9-4b96-b5d4-0d4f06fb2d13	ead53b27-6ad9-4b96-b5d4-0d4f06fb2d13/dadd1789-354a-4abb-8d4e-8556166cf341.rna_seq.augmented_star_gene_counts.tsv	0948d5b1ea684cd62a6ec7dafbeda026	4235051	validated
104e3cb5-c6df-422b-a55f-6b19408594d4	104e3cb5-c6df-422b-a55f-6b19408594d4/2056c543-2f73-4a2f-995e-3af2dda7b514.rna_seq.augmented_star_gene_counts.tsv	6a9b5ab6f51dce916319b6c2d6930505	4238667	validated
4c60d168-b545-46a8-8c37-81972a537a83	4c60d168-b545-46a8-8c37-81972a537a83/56f3a401-cf18-4d25-b4af-6bacca469041.rna_seq.augmented_star_gene_counts.tsv	d39a67e51e0f8e419590ea4d5a0c940c	4251185	validated
62c0cac5-05eb-46ea-b165-a2e9e342a259	62c0cac5-05eb-46ea-b165-a2e9e342a259/d702ead2-f1df-43e1-b1a4-c506902b14df.rna_seq.augmented_star_gene_counts.tsv	b8961e0d9b259472a0ce5463d3ae47c1	4257631	validated
b54476c3-f6f1-4474-b447-72023ba97687	b54476c3-f6f1-4474-b447-72023ba97687/65c868ba-94ed-43f2-bfd1-814979ee9486.rna_seq.augmented_star_gene_counts.tsv	2a59a4e48f556d4c21a91e7c09e8672c	4249903	validated
20e90b8d-aa05-4918-8e54-1b969488148f	20e90b8d-aa05-4918-8e54-1b969488148f/59fe0f14-0415-43b7-87c7-1098e4b434ea.rna_seq.augmented_star_gene_counts.tsv	528cec3fca6434f973510150ff727e05	4268842	validated
ad1ea8c5-ca8b-49e9-a650-6012d71daf24	ad1ea8c5-ca8b-49e9-a650-6012d71daf24/69d12077-db51-4a74-a090-9b26e0368ee8.rna_seq.augmented_star_gene_counts.tsv	3f019a48fcf4dbaa00e2960624f298e1	4254922	validated
2a3dc057-3c00-405e-a18f-23e8c43494d4	2a3dc057-3c00-405e-a18f-23e8c43494d4/6c40b30a-d103-4397-997f-9b2bda66793a.rna_seq.augmented_star_gene_counts.tsv	cd1d4e429dc6ba16ad178567cedcd5ae	4246669	validated
ac70b1a2-ff7d-49db-a962-4c07479d50b6	ac70b1a2-ff7d-49db-a962-4c07479d50b6/89f7da93-c1fd-410b-8479-64ad9bed850e.rna_seq.augmented_star_gene_counts.tsv	d6b4b67b08ed9424127846c02d974891	4254742	validated
92431faf-af89-4f25-be07-61ac770b9633	92431faf-af89-4f25-be07-61ac770b9633/f4bbad06-fb0c-4064-8a05-18b30a16207a.rna_seq.augmented_star_gene_counts.tsv	040c5da1036dfe1e15b149b892bd701e	4244431	validated
1873c44d-4dcb-41d3-8c3c-dec38f7ac3d1	1873c44d-4dcb-41d3-8c3c-dec38f7ac3d1/b69294e4-e359-43b3-b3df-04bf9401fb9e.rna_seq.augmented_star_gene_counts.tsv	88b9502169adc5264b69bb75c2173048	4228628	validated
7dcadaff-5d95-4ba6-9ce7-50bb2e5f17aa	7dcadaff-5d95-4ba6-9ce7-50bb2e5f17aa/5ee2f830-f808-4e6c-89c1-6c90859958e1.rna_seq.augmented_star_gene_counts.tsv	1200f4048ce15ab6f8314d7d18d0440a	4239833	validated
ec9fb459-42b7-47eb-8c3a-48f492a7b2dc	ec9fb459-42b7-47eb-8c3a-48f492a7b2dc/3b1b46e1-f475-46f0-af79-0b9296164be3.rna_seq.augmented_star_gene_counts.tsv	23b6228b2b9b44917112f531ad5f820c	4254162	validated
d2007230-83cb-4f12-bec5-e42afc4a58cd	d2007230-83cb-4f12-bec5-e42afc4a58cd/9e94e2ce-f6a9-4358-b96e-266207b9ce34.rna_seq.augmented_star_gene_counts.tsv	10f5e856eb63dee8daa8587a341f318d	4227477	validated
2291d3f5-8269-4f31-adad-4b873c7ac770	2291d3f5-8269-4f31-adad-4b873c7ac770/2f3e03a2-8764-4791-b53a-a599c6159e19.rna_seq.augmented_star_gene_counts.tsv	b661dc03c037320850eed4e501f7aa86	4250939	validated
e59d6b6e-1a01-4f3f-b298-06f2c6c7b111	e59d6b6e-1a01-4f3f-b298-06f2c6c7b111/f6ec2075-052d-4677-8423-378ae45593ba.rna_seq.augmented_star_gene_counts.tsv	40d3409b401a93d1a693f82c6b81d56b	4244226	validated
760131f1-5fbf-469f-9629-43733014953d	760131f1-5fbf-469f-9629-43733014953d/039eaafb-c311-45ff-9df7-30c1b0bab00a.rna_seq.augmented_star_gene_counts.tsv	97b9aa35ae268d685ce0dba0b9b94744	4243960	validated
a9527be9-e865-4074-ae57-f3510e70c203	a9527be9-e865-4074-ae57-f3510e70c203/d6ca3b86-5a26-4467-b9a9-cb7fcc5a7316.rna_seq.augmented_star_gene_counts.tsv	9a6e10de5d3d52bfde6eea3ae5ab1dcf	4251099	validated
e14858ca-8bb5-4d6d-906c-5d62722d90f8	e14858ca-8bb5-4d6d-906c-5d62722d90f8/fd6f4c9b-ee43-4939-8cfa-2e447aedbcf3.rna_seq.augmented_star_gene_counts.tsv	c5b28e998082f8ae66879e5ddd6b196f	4244611	validated
588a95c5-286a-417f-aa76-b4d8b5c055ef	588a95c5-286a-417f-aa76-b4d8b5c055ef/c4ffc907-8632-494f-8030-0dcc74af3d9c.rna_seq.augmented_star_gene_counts.tsv	33a15e18e17e8b08ae77eccf7906ecd6	4252935	validated
84ab5edd-38bf-4987-b9af-fa4d1cbdef2c	84ab5edd-38bf-4987-b9af-fa4d1cbdef2c/774f5688-bad0-4a78-b26a-7aceb353e603.rna_seq.augmented_star_gene_counts.tsv	51deac7af9a8e7c6c5d186aea1584435	4228023	validated
a17d51b5-c397-4591-a227-dc0425948420	a17d51b5-c397-4591-a227-dc0425948420/3f4afc9c-562a-4ef4-a6cb-ff426357a614.rna_seq.augmented_star_gene_counts.tsv	bd89cc177620eaa610560f2746876e82	4236406	validated
ea4c3031-5f48-4048-90ff-a525271cfebc	ea4c3031-5f48-4048-90ff-a525271cfebc/671bc03b-e3a8-45f6-88e4-ce138c716886.rna_seq.augmented_star_gene_counts.tsv	72b09638fad0abd38a796bfbcccdad83	4255496	validated
e5363f56-84fa-4b66-a005-1e7cdcb84c2f	e5363f56-84fa-4b66-a005-1e7cdcb84c2f/7d787768-efb1-462d-b5aa-5cbf6fc543d4.rna_seq.augmented_star_gene_counts.tsv	3afd6b79598b3c63ef8b737db46c9c7b	4211050	validated
d393af6b-de4b-4ca6-bc06-a29068dfe086	d393af6b-de4b-4ca6-bc06-a29068dfe086/fb1c09a7-660e-4585-85b8-5acc456563cf.rna_seq.augmented_star_gene_counts.tsv	38beb88aa27fa3ea14347c53fd655424	4231479	validated
5428e771-3ea8-46d1-842e-50a270d26bd3	5428e771-3ea8-46d1-842e-50a270d26bd3/8dc201bf-b152-458f-86ee-347744a1b9bd.rna_seq.augmented_star_gene_counts.tsv	d2bcf0ec1a28abd55c030395b3b222ab	4233719	validated
2455f280-a23c-48ec-b4c1-698b56f72a45	2455f280-a23c-48ec-b4c1-698b56f72a45/5383a729-554e-4d3e-ba62-449f45b7567d.rna_seq.augmented_star_gene_counts.tsv	426dd8cce7ebdbdade968f7d66809416	4247651	validated
76267112-851f-4f5b-af40-f3c90af1b2ce	76267112-851f-4f5b-af40-f3c90af1b2ce/bd35c087-9a96-4f86-99f2-1a2a8936471a.rna_seq.augmented_star_gene_counts.tsv	934a1ec2573ee5c5a60a10c5a0446372	4243325	validated
176e739b-87e2-49b7-80e1-c27a6a632576	176e739b-87e2-49b7-80e1-c27a6a632576/48077485-61e6-4d16-a74c-ee216a9455f1.rna_seq.augmented_star_gene_counts.tsv	7460912e5d08c1466dfd702b30171fcc	4238417	validated
d2b6c967-b505-4f52-a4f7-91b6e8acbd1f	d2b6c967-b505-4f52-a4f7-91b6e8acbd1f/56c85bd5-c353-457a-94a9-91a3cc0ac4e0.rna_seq.augmented_star_gene_counts.tsv	3db54e9dd66ec8eaa9a2beb63f51a610	4272295	validated
00469928-b243-4cae-acd7-134508e99ceb	00469928-b243-4cae-acd7-134508e99ceb/2f51534b-248b-4999-bc3f-e42a2e98332e.rna_seq.augmented_star_gene_counts.tsv	e2fff70f2db6eaa2f2f6c5fc9e32f5ab	4232860	validated
ee89e01e-d54e-4166-a3ae-db9357639523	ee89e01e-d54e-4166-a3ae-db9357639523/207b5c1c-3710-47bd-be2c-e1307631b28f.rna_seq.augmented_star_gene_counts.tsv	a594498bf05e67008010e00632060cd8	4243826	validated
f3d5f550-311d-4c59-8576-81fde80db315	f3d5f550-311d-4c59-8576-81fde80db315/1990cbfd-497e-4fcb-ad10-251e410c0d29.rna_seq.augmented_star_gene_counts.tsv	bf87d41858a0ee886b956d9247b0ef8c	4239844	validated
fae4edd8-db77-4937-94c4-3b16d39fb8c9	fae4edd8-db77-4937-94c4-3b16d39fb8c9/aa3cbc51-b74d-44b1-9043-cb2b9855a72b.rna_seq.augmented_star_gene_counts.tsv	9c73b45ade85c09e2b0a5896c60d7374	4224511	validated
e99a371e-14fa-46f7-89c1-ad36bcd82994	e99a371e-14fa-46f7-89c1-ad36bcd82994/28b12d43-f858-458b-9305-6581a9498e59.rna_seq.augmented_star_gene_counts.tsv	b9c56be219a1a984d83a4dadd8460c54	4220652	validated
7ba3b335-cd4c-4b44-a4da-44fa1109a6f0	7ba3b335-cd4c-4b44-a4da-44fa1109a6f0/824f5b0a-44d4-4ccf-9277-1ef752462bb3.rna_seq.augmented_star_gene_counts.tsv	5a849da011ca0a91c11e3b8bde008148	4247739	validated
17b87e41-8f42-48d8-90f8-d2c9b8553481	17b87e41-8f42-48d8-90f8-d2c9b8553481/b35809ed-747b-46b9-9921-e14d859e5b5d.rna_seq.augmented_star_gene_counts.tsv	9ac50e58e8b845430e983100d0902c56	4236157	validated
69f5df3f-273f-4e02-934b-af9c9ec52067	69f5df3f-273f-4e02-934b-af9c9ec52067/92e1baff-0f43-4841-aab9-fdda0078673a.rna_seq.augmented_star_gene_counts.tsv	b690d85fad7f9487927b89b7fa9329e9	4252642	validated
ece7c643-e0b9-4b65-b6f5-89c414c1bfea	ece7c643-e0b9-4b65-b6f5-89c414c1bfea/7e6ed4fc-b4bf-46c7-9f31-24a0c32c039e.rna_seq.augmented_star_gene_counts.tsv	7e032c9132f1ba39335b819afd53c06f	4247809	validated
4d0dcaac-cf91-4737-931d-f308fb20df9d	4d0dcaac-cf91-4737-931d-f308fb20df9d/a0baf653-6f10-46fe-959c-54268fbc670e.rna_seq.augmented_star_gene_counts.tsv	9aa0e4f21a6175192626bfa78e68e2da	4219849	validated
2e9902c2-e171-465e-ae13-45c413f7515f	2e9902c2-e171-465e-ae13-45c413f7515f/95bb2613-9194-434c-801b-fd18aa183f6a.rna_seq.augmented_star_gene_counts.tsv	9e7a62bba1ef8caa3a89207ed793d572	4238780	validated
71ce6854-2231-48ad-ba1b-54bb4ec7d713	71ce6854-2231-48ad-ba1b-54bb4ec7d713/c50bf088-8ad3-495c-b7b5-1eca9bb546ba.rna_seq.augmented_star_gene_counts.tsv	eec3e72e22419d2e8aee420e22369430	4243394	validated
31e1dbf5-8c97-4e4d-a488-d6737ab304c2	31e1dbf5-8c97-4e4d-a488-d6737ab304c2/6e24acde-7dd0-46b9-b3c5-b0b617912910.rna_seq.augmented_star_gene_counts.tsv	7f28e5a73e447e0fb994dae451e5063a	4242517	validated
2700aca8-b120-4655-87ab-a9f8f7f633db	2700aca8-b120-4655-87ab-a9f8f7f633db/8c92ecf0-5d81-48c3-ad9f-9adf51860962.rna_seq.augmented_star_gene_counts.tsv	a751c4021464acac5ce2901d7af8b6ac	4232011	validated
773071d4-438a-4da7-b833-d2d172c4c4e2	773071d4-438a-4da7-b833-d2d172c4c4e2/358a0311-c6aa-456d-a52b-6b6b08b0a863.rna_seq.augmented_star_gene_counts.tsv	8fd28d178841468e8ff7473d1521e1af	4246902	validated
481c702a-58ee-4fab-9559-434a45615aa5	481c702a-58ee-4fab-9559-434a45615aa5/dc3a76a7-bac2-43c0-90e2-e251e459c659.rna_seq.augmented_star_gene_counts.tsv	546857d71271f970a7b74366e3945cc5	4229633	validated
b26b27b0-5209-483c-a359-9a5d3ae920e9	b26b27b0-5209-483c-a359-9a5d3ae920e9/951bac30-0a85-4dd8-8470-c1a3b84817f9.rna_seq.augmented_star_gene_counts.tsv	06d641bf459dc45876edf91ebe3c92dc	4243684	validated
83f2e26b-fefd-4027-ac5e-fa204ec9f084	83f2e26b-fefd-4027-ac5e-fa204ec9f084/a455069c-8869-4af8-949c-edfee0a05f51.rna_seq.augmented_star_gene_counts.tsv	2a196a028ad890402b9b8d4fa7512652	4219291	validated
e12f17ae-dc1f-4e91-93bd-b827ad276dde	e12f17ae-dc1f-4e91-93bd-b827ad276dde/a854c368-6e81-4ade-9ea9-afbee1c4c448.rna_seq.augmented_star_gene_counts.tsv	1132566aa28f06f65623f189d783bc7a	4239792	validated
b9220098-f6f9-4732-8e94-3c9eeb4b8479	b9220098-f6f9-4732-8e94-3c9eeb4b8479/c84dbd50-ff69-4824-afe5-1eaec5780d27.rna_seq.augmented_star_gene_counts.tsv	708cd9bb695167f76a0483c660d748dd	4228429	validated
35f78d43-917b-4a7b-b992-d004056a370f	35f78d43-917b-4a7b-b992-d004056a370f/87c074cd-bcd8-4280-a12e-b205f50e139c.rna_seq.augmented_star_gene_counts.tsv	b53b579c9c7d22f4cb501e4220d82929	4243678	validated
774133e2-dfca-4918-9be9-8727fc99fe26	774133e2-dfca-4918-9be9-8727fc99fe26/666548b5-7b80-42af-80f3-207063c35b3b.rna_seq.augmented_star_gene_counts.tsv	0c64a8a71cf9646c70c7b0e4e27f0b07	4259623	validated
67317cce-4a8c-4313-bb26-4ef7759071b9	67317cce-4a8c-4313-bb26-4ef7759071b9/3b509602-c9b3-4dba-86a4-13e2a3857bb4.rna_seq.augmented_star_gene_counts.tsv	505f06d7345d85995044e4630116ccb5	4249865	validated
b1ad91fb-fb78-4896-83cd-dad028a1d297	b1ad91fb-fb78-4896-83cd-dad028a1d297/e49fbda2-881a-43c1-9c16-0b07fdd281a7.rna_seq.augmented_star_gene_counts.tsv	30722c7f785cc4216cfd3b61fc6c0e76	4228868	validated
0ba26ef1-7b7d-48c8-a593-75504769791c	0ba26ef1-7b7d-48c8-a593-75504769791c/65b4f81a-4439-4d82-ae25-68d63309b053.rna_seq.augmented_star_gene_counts.tsv	4375d9c376b1afbb9b835aa3961afa27	4263846	validated
f30b7e3e-f26d-47f7-a87f-6c1a4f074f65	f30b7e3e-f26d-47f7-a87f-6c1a4f074f65/a7bca7c2-8c54-4ad1-9deb-7f77c962bb07.rna_seq.augmented_star_gene_counts.tsv	4b87e94f6fa77db5b14428fa8d5b2de8	4253516	validated
9b47ed32-440b-4e50-93f9-5aeb56f03397	9b47ed32-440b-4e50-93f9-5aeb56f03397/990f1383-2ef6-426a-a650-e182010a8281.rna_seq.augmented_star_gene_counts.tsv	fc5c643a2e670551cee6d8668756957b	4247443	validated
c38adc46-f0f2-4c71-91b6-da2159dcb190	c38adc46-f0f2-4c71-91b6-da2159dcb190/0f9b8032-b21a-4480-8434-d174760a7ddd.rna_seq.augmented_star_gene_counts.tsv	eecb7df6270d554f7ba621a96cce7b67	4234157	validated
515f8866-8744-44d8-9e4b-0e734d0c201b	515f8866-8744-44d8-9e4b-0e734d0c201b/c5d73777-b7f3-4107-9efc-afde92f70469.rna_seq.augmented_star_gene_counts.tsv	d93f2511d555d1d07fec2dd9375e61c2	4235496	validated
